Generation (G),Age of Colony (t),No. of alates (A),No. of helpers,No. of not helper,Age to dispersal (tau),No. of eggs (F),No. of dead offsprings,Imprinting level (I),The maximum reproductive capacity (K),Available resource (R),Peak available resource,Surplus resouce,Peak surplus resouce (delta_R),No. of alates in previous generation,Fitness of colony (W),0-year-old,1-year-old,2-year-old,3-year-old,4-year-old,5-year-old,6-year-old,7-year-old,8-year-old,9-year-old,10-year-old,11-year-old,12-year-old
1,1,0,0,0,4,10,0,4.0,20,200,200,100,100,0,0,10,,,,,,,,,,,,,
1,2,0,0,10,4,10,0,3.0,20,200,200,100,100,0,0,10,10,,,,,,,,,,,,
1,3,0,10,10,4,11,0,3.0,20,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
1,4,0,20,11,4,20,0,3.0,20,537,537,337,337,0,0,20,11,10,10,,,,,,,,,,
1,5,0,31,20,4,20,0,3.0,20,878,878,678,678,0,0,20,20,11,10,10,,,,,,,,,
1,6,10,41,20,4,20,0,3.0,20,942,942,742,742,20,10,20,20,20,11,10,0,,,,,,,,
1,7,10,51,20,4,20,0,3.0,20,1246,1246,1046,1046,40,20,20,20,20,20,11,0,0,,,,,,,
1,8,11,60,20,4,20,0,3.0,20,1550,1550,1350,1350,60,31,20,20,20,20,20,0,0,0,,,,,,
1,9,20,60,20,4,20,0,3.0,20,1550,1550,1350,1350,80,51,20,20,20,20,20,0,0,0,0,,,,,
1,10,20,60,20,4,20,0,3.0,20,1550,1550,1350,1350,100,71,20,20,20,20,20,0,0,0,0,0,,,,
1,11,20,60,20,4,20,0,3.0,20,1550,1550,1350,1350,120,91,20,20,20,20,20,0,0,0,0,0,0,,,
1,12,20,60,20,4,20,0,3.0,20,1550,1550,1350,1350,140,111,20,20,20,20,20,0,0,0,0,0,0,0,,
1,13,20,60,20,4,20,0,3.0,20,1550,1550,1350,1350,160,131,20,20,20,20,20,0,0,0,0,0,0,0,0,
2,1,0,0,0,4,10,0,4.0,21,200,200,100,100,0,0,10,,,,,,,,,,,,,
2,2,0,0,10,4,10,0,3.0,21,200,200,100,100,0,0,10,10,,,,,,,,,,,,
2,3,0,10,10,4,11,0,3.0,21,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
2,4,0,20,11,4,21,0,3.0,21,537,537,327,327,0,0,21,11,10,10,,,,,,,,,,
2,5,0,31,21,4,21,0,3.0,21,878,878,668,668,0,0,21,21,11,10,10,,,,,,,,,
2,6,10,42,21,4,21,0,3.0,21,945,945,735,735,10,10,21,21,21,11,10,0,,,,,,,,
2,7,10,53,21,4,21,0,3.0,21,1279,1279,1069,1069,20,20,21,21,21,21,11,0,0,,,,,,,
2,8,11,63,21,4,21,0,3.0,21,1616,1616,1406,1406,31,31,21,21,21,21,21,0,0,0,,,,,,
2,9,21,63,21,4,21,0,3.0,21,1616,1616,1406,1406,51,52,21,21,21,21,21,0,0,0,0,,,,,
2,10,21,63,21,4,21,0,3.0,21,1616,1616,1406,1406,71,73,21,21,21,21,21,0,0,0,0,0,,,,
2,11,21,63,21,4,21,0,3.0,21,1616,1616,1406,1406,91,94,21,21,21,21,21,0,0,0,0,0,0,,,
2,12,21,63,21,4,21,0,3.0,21,1616,1616,1406,1406,111,115,21,21,21,21,21,0,0,0,0,0,0,0,,
2,13,21,63,21,4,21,0,3.0,21,1616,1616,1406,1406,131,136,21,21,21,21,21,0,0,0,0,0,0,0,0,
3,1,0,0,0,4,10,0,4.0,22,200,200,100,100,0,0,10,,,,,,,,,,,,,
3,2,0,0,10,4,10,0,3.0,22,200,200,100,100,0,0,10,10,,,,,,,,,,,,
3,3,0,10,10,4,11,0,3.0,22,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
3,4,0,20,11,4,22,0,3.0,22,537,537,317,317,0,0,22,11,10,10,,,,,,,,,,
3,5,0,31,22,4,22,0,3.0,22,878,878,658,658,0,0,22,22,11,10,10,,,,,,,,,
3,6,10,43,22,4,22,0,3.0,22,949,949,729,729,10,10,22,22,22,11,10,0,,,,,,,,
3,7,10,55,22,4,22,0,3.0,22,1313,1313,1093,1093,20,20,22,22,22,22,11,0,0,,,,,,,
3,8,11,66,22,4,22,0,3.0,22,1684,1684,1464,1464,31,31,22,22,22,22,22,0,0,0,,,,,,
3,9,22,66,22,4,22,0,3.0,22,1684,1684,1464,1464,52,53,22,22,22,22,22,0,0,0,0,,,,,
3,10,22,66,22,4,22,0,3.0,22,1684,1684,1464,1464,73,75,22,22,22,22,22,0,0,0,0,0,,,,
3,11,22,66,22,4,22,0,3.0,22,1684,1684,1464,1464,94,97,22,22,22,22,22,0,0,0,0,0,0,,,
3,12,22,66,22,4,22,0,3.0,22,1684,1684,1464,1464,115,119,22,22,22,22,22,0,0,0,0,0,0,0,,
3,13,22,66,22,4,22,0,3.0,22,1684,1684,1464,1464,136,141,22,22,22,22,22,0,0,0,0,0,0,0,0,
4,1,0,0,0,4,10,0,4.0,23,200,200,100,100,0,0,10,,,,,,,,,,,,,
4,2,0,0,10,4,10,0,3.0,23,200,200,100,100,0,0,10,10,,,,,,,,,,,,
4,3,0,10,10,4,11,0,3.0,23,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
4,4,0,20,11,4,23,0,3.0,23,537,537,307,307,0,0,23,11,10,10,,,,,,,,,,
4,5,0,31,23,4,23,0,3.0,23,878,878,648,648,0,0,23,23,11,10,10,,,,,,,,,
4,6,10,44,23,4,23,0,3.0,23,953,953,723,723,10,10,23,23,23,11,10,0,,,,,,,,
4,7,10,57,23,4,23,0,3.0,23,1347,1347,1117,1117,20,20,23,23,23,23,11,0,0,,,,,,,
