Generation (G),The maximum reproductive capacity (K),Peak available resource (R),Peak surplus resouce (delta_R),Fitness of colony (W),Inclusive fitness of the first brood,Direct fitness of the first brood
1,20,1550,1350,131,262,131,
2,21,1616,1406,136,272,136,
3,22,1684,1464,141,282,141,
4,23,1752,1522,146,292,146,
5,24,1820,1580,149,250,101,
6,25,1886,1636,154,258,104,
7,26,1954,1694,159,266,107,
8,27,2022,1752,163,272,109,
9,28,2090,1810,167,278,111,
10,29,2156,1866,171,284,113,
11,30,2224,1924,175,290,115,
12,31,2292,1982,179,296,117,
13,32,2360,2040,183,302,119,
14,33,2426,2096,187,308,121,
15,34,2494,2154,191,314,123,
16,35,2562,2212,195,320,125,
17,36,2630,2270,197,286,89,
18,37,2696,2326,201,291,90,
19,38,2764,2384,205,296,91,
20,39,2832,2442,209,301,92,
21,40,2900,2500,213,306,93,
22,41,2966,2556,217,311,94,
23,42,3034,2614,221,316,95,
24,43,3102,2672,225,321,96,
25,44,3170,2730,228,324,96,
26,45,3236,2786,231,327,96,
27,46,3304,2844,234,330,96,
28,47,3372,2902,237,333,96,
29,48,3440,2960,238,289,51,
30,49,3506,3016,240,290,50,
31,50,3574,3074,243,293,50,
32,51,3642,3132,246,296,50,
33,52,3710,3190,249,299,50,
34,53,3776,3246,252,302,50,
35,54,3844,3304,255,305,50,
36,55,3912,3362,258,308,50,
37,56,3980,3420,261,311,50,
38,57,4046,3476,264,314,50,
39,58,4114,3534,267,317,50,
40,59,4182,3592,270,320,50,
41,60,4276,3676,271,292,21,
42,61,4316,3706,274,295,21,
43,62,4384,3764,277,298,21,
44,63,4452,3822,280,301,21,
45,64,4520,3880,283,304,21,
46,65,4586,3936,286,307,21,
47,66,4654,3994,289,310,21,
48,67,4722,4052,292,313,21,
49,68,4790,4110,295,316,21,
50,69,4856,4166,298,319,21,
51,70,4924,4224,301,322,21,
52,71,4992,4282,304,325,21,
53,72,5660,4940,306,316,10,
54,73,5726,4996,309,319,10,
55,74,5794,5054,312,322,10,
56,75,5862,5112,315,325,10,
57,76,5930,5170,318,328,10,
58,77,5996,5226,321,331,10,
59,78,6064,5284,324,334,10,
60,79,6098,5308,326,336,10,
